,number_of_vaccinations,vaccination_rate
2021-01-31,25201143.0,7.678593235831809
2021-02-28,49772180.0,15.165198049969533
2021-03-31,97593290.0,29.735920170627665
2021-04-30,144894586.0,44.148258988421695
2021-05-30,167733972.0,51.10724314442413
2021-06-30,180674739.0,55.05019469835465
2021-07-31,190982149.0,58.19078275441804
