,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"31,041","4,041,944","35,492","1,551,492"
부산,"11,051","1,506,451","9,767","537,704"
대구,"8,035","962,841","7,252","356,226"
인천,"8,685","1,165,494","8,098","413,182"
광주,"3,762","614,308","5,075","233,767"
대전,"4,239","584,136","4,839","226,572"
울산,"4,534","450,914","3,533","146,774"
세종,941,"123,217","1,166","46,072"
경기,"47,856","5,239,866","44,456","1,945,897"
강원,"4,831","737,730","4,917","305,003"
충북,"5,553","716,160","5,256","271,782"
충남,"7,992","956,039","5,303","372,476"
전북,"5,412","867,354","4,475","345,279"
전남,"5,570","945,270","5,273","382,751"
경북,"11,153","1,209,759","7,131","460,591"
경남,"13,201","1,408,679","8,450","523,841"
제주,"1,907","283,009","2,133","107,007"
