,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"6,105","3,890,343",106,"1,446,195"
부산,990,"1,448,127",11,"508,485"
대구,"1,759","921,002",39,"335,071"
인천,"1,850","1,118,577",56,"388,734"
광주,261,"594,426",3,"218,228"
대전,770,"563,571",18,"211,799"
울산,503,"428,976",8,"135,630"
세종,174,"119,009",7,"42,443"
경기,"10,182","5,014,846","1,918","1,806,009"
강원,286,"711,201",13,"289,602"
충북,791,"687,956",7,"255,707"
충남,844,"916,629",10,"353,114"
전북,577,"838,358",7,"330,564"
전남,439,"912,615",4,"364,514"
경북,822,"1,155,381",18,"438,113"
경남,697,"1,342,673",3,"496,251"
제주,457,"272,299",6,"100,587"
