,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"48,625","4,010,500","34,387","1,515,914"
부산,"16,948","1,495,259","9,731","527,899"
대구,"12,498","954,620","6,729","348,953"
인천,"13,567","1,156,699","8,417","405,056"
광주,"6,045","610,487","5,394","228,640"
대전,"5,809","579,816","4,936","221,723"
울산,"6,414","446,338","3,879","143,231"
세종,"1,413","122,268","1,221","44,902"
경기,"69,792","5,191,350","48,020","1,901,180"
강원,"7,560","732,860","5,056","300,067"
충북,"8,087","710,571","5,388","266,478"
충남,"11,272","947,991","6,930","367,129"
전북,"7,686","861,910","4,420","340,796"
전남,"8,465","939,626","6,377","377,437"
경북,"15,287","1,198,471","6,203","453,397"
경남,"18,739","1,395,252","8,682","515,339"
제주,"3,173","281,088","2,495","104,839"
