,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"41,614","3,860,574","30,152","1,437,142"
부산,"17,558","1,439,164","8,698","507,690"
대구,"13,258","913,115","6,314","334,568"
인천,"15,614","1,108,473","7,031","387,097"
광주,"7,818","589,995","3,343","217,834"
대전,"6,862","559,835","4,209","211,558"
울산,"5,519","426,302","3,029","135,516"
세종,"1,878","118,012","1,516","42,257"
경기,"65,817","4,967,739","40,588","1,784,538"
강원,"7,899","708,373","5,184","288,859"
충북,"8,618","683,729","4,355","255,364"
충남,"11,485","912,076","7,434","352,736"
전북,"9,126","834,404","5,049","330,218"
전남,"8,955","908,894","7,496","364,175"
경북,"13,543","1,149,953","9,244","437,509"
경남,"15,759","1,335,213","9,558","495,274"
제주,"3,049","270,341","2,051","100,329"
