,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"43,931","4,115,097","121,688","1,808,837"
부산,"16,466","1,533,550","43,865","632,047"
대구,"13,214","984,256","23,540","409,140"
인천,"13,212","1,187,232","32,000","482,702"
광주,"5,444","623,727","19,402","274,967"
대전,"5,582","594,573","17,016","262,242"
울산,"5,383","461,256","11,959","172,999"
세종,"1,183","125,367","3,640","54,044"
경기,"64,742","5,351,397","146,186","2,258,539"
강원,"6,336","748,642","19,028","347,180"
충북,"7,175","728,581","20,361","316,081"
충남,"10,548","974,556","25,293","428,731"
전북,"8,313","881,243","27,113","402,850"
전남,"7,308","958,197","32,643","449,899"
경북,"13,550","1,233,934","29,706","524,053"
경남,"16,827","1,437,602","37,784","604,735"
제주,"2,300","287,174","7,931","123,616"
