,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"35,750","3,760,901","20,668","1,357,865"
부산,"14,111","1,397,969","6,047","486,566"
대구,"10,980","882,212","4,880","316,890"
인천,"12,385","1,071,985","5,315","368,016"
광주,"5,935","569,391","3,857","209,107"
대전,"6,025","542,903","2,923","201,501"
울산,"4,359","412,520","2,621","127,950"
세종,"1,423","113,682",899,"38,703"
경기,"55,142","4,810,679","29,750","1,674,100"
강원,"6,250","689,726","2,595","276,872"
충북,"7,428","662,881","2,832","244,864"
충남,"10,817","882,969","3,995","336,729"
전북,"7,309","813,696","3,639","316,877"
전남,"8,468","886,907","3,502","349,164"
경북,"15,146","1,113,373","5,283","417,085"
경남,"13,960","1,295,680","6,127","472,245"
제주,"3,453","262,118","1,596","95,125"
