,date,total_cases,new_cases,population,people_vaccinated,people_fully_vaccinated,new_vaccinations
114,2021-06-20,151506,357,51269183,15034318,4054622,1328
115,2021-06-21,151901,395,51269183,15081757,4172098,161733
116,2021-06-22,152545,644,51269183,15130548,4297484,171700
117,2021-06-23,153155,610,51269183,15174683,4417835,163394
118,2021-06-24,153789,634,51269183,15220344,4525725,153002
119,2021-06-25,154457,668,51269183,15284213,4622608,160332
120,2021-06-26,155071,614,51269183,15295438,4646264,34792
121,2021-06-27,155572,501,51269183,15295444,4647004,740
122,2021-06-28,156167,595,51269183,15308699,4791577,157368
123,2021-06-29,156961,794,51269183,15325426,4936572,161055
124,2021-06-30,157723,762,51269183,15340132,5073650,151048
125,2021-07-01,158549,826,51269183,15344551,5194312,124519
126,2021-07-02,159342,793,51269183,15349610,5315150,125545
127,2021-07-03,160084,742,51269183,15351094,5332162,18281
128,2021-07-04,160795,711,51269183,15351094,5332808,646
129,2021-07-05,161541,746,51269183,15405635,5409177,130910
130,2021-07-06,162753,1212,51269183,15444008,5499918,129114
131,2021-07-07,164028,1275,51269183,15479418,5588944,124436
132,2021-07-08,165344,1316,51269183,15517489,5695126,144253
133,2021-07-09,166722,1378,51269183,15575897,5843630,206912
