,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
누적 확진자,65989,8516,11830,9342,3464,4459,3262,763,57371,4609,3977,5136,2843,2069,5588,7558,1808
신규 확진자,486,111,75,83,16,59,15,8,487,22,45,55,33,15,48,114,23
