,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
누적 확진자,63817,8275,11692,9162,3416,4278,3226,745,56208,4641,3869,4998,2782,2042,5484,7286,1752
신규 확진자,473,58,23,89,14,69,20,9,406,44,17,46,14,9,28,84,20
