,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적 확진자,69306,9382,12398,9943,3599,4805,3502,836,60789,4789,4303,5620,3019,2211,5965,8325,1917,5497
신규 확진자,661,126,66,112,20,43,48,8,666,19,56,86,31,18,67,141,28,27
