측정일시,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20180101,44.17142857142857,20.08108108108108
20180102,43.37837837837838,21.54054054054054
20180103,36.89473684210526,17.842105263157894
20180104,47.6578947368421,23.94736842105263
20180105,60.23684210526316,34.973684210526315
20180106,50.44736842105263,30.473684210526315
20180107,57.473684210526315,37.921052631578945
20180108,59.68421052631579,38.63157894736842
20180109,43.55263157894737,19.210526315789473
20180110,34.6578947368421,13.18421052631579
20180111,34.6578947368421,21.81578947368421
20180112,26.342105263157894,14.842105263157896
20180113,55.256410256410255,37.02564102564103
20180114,71.1025641025641,50.53846153846154
20180115,71.6923076923077,46.64102564102564
20180116,115.94871794871794,79.97435897435898
20180117,115.28205128205128,83.23076923076923
20180118,90.48717948717949,56.61538461538461
20180119,62.17948717948718,27.564102564102566
20180120,103.74358974358974,59.46153846153846
20180121,65.92307692307692,34.02564102564103
20180122,50.07692307692308,23.794871794871796
20180123,25.53846153846154,11.102564102564102
20180124,30.743589743589745,9.897435897435898
20180125,25.025641025641026,11.384615384615385
20180126,33.51282051282051,18.41025641025641
20180127,46.92307692307692,26.205128205128204
20180128,34.0,19.205128205128204
20180129,47.282051282051285,16.05128205128205
20180130,43.76923076923077,20.794871794871796
20180131,42.48717948717949,19.564102564102566
20180201,42.02564102564103,22.153846153846153
20180202,57.17948717948718,32.256410256410255
20180203,38.92307692307692,19.205128205128204
20180204,33.64102564102564,21.0
20180205,27.897435897435898,14.692307692307692
20180206,32.58974358974359,18.28205128205128
20180207,42.07692307692308,24.564102564102566
20180208,54.38461538461539,34.8974358974359
20180209,72.97435897435898,49.333333333333336
20180210,78.46153846153847,43.12820512820513
20180211,53.333333333333336,14.692307692307692
20180212,50.61538461538461,14.846153846153847
20180213,52.46153846153846,16.17948717948718
20180214,70.28205128205128,31.0
20180215,40.12820512820513,15.282051282051283
20180216,49.64102564102564,19.0
20180218,38.17948717948718,17.358974358974358
20180219,62.64102564102564,38.82051282051282
20180220,67.56410256410257,40.97435897435897
20180221,40.07692307692308,19.435897435897434
20180222,47.02564102564103,27.307692307692307
20180223,93.35897435897436,64.82051282051282
20180224,81.64864864864865,53.62162162162162
20180225,47.45945945945946,31.16216216216216
20180226,66.1891891891892,42.189189189189186
20180227,99.22222222222223,62.583333333333336
20180228,73.91666666666667,47.69444444444444
20180301,43.25,30.88888888888889
20180302,72.05555555555556,28.13888888888889
20180303,62.77777777777778,28.88888888888889
20180304,33.333333333333336,22.444444444444443
20180305,10.416666666666666,5.888888888888889
20180306,34.0,18.0
20180307,31.210526315789473,16.44736842105263
20180308,33.10526315789474,24.86842105263158
20180309,54.89473684210526,37.63157894736842
20180310,49.68421052631579,33.3421052631579
20180311,62.026315789473685,40.39473684210526
20180312,103.3157894736842,65.13157894736842
20180313,69.51282051282051,40.1025641025641
20180314,26.82051282051282,12.897435897435898
20180315,23.358974358974358,15.948717948717949
20180316,15.64102564102564,6.615384615384615
20180317,33.84615384615385,19.794871794871796
20180318,64.66666666666667,47.82051282051282
20180319,32.05128205128205,23.0
20180320,22.128205128205128,8.487179487179487
20180409,43.43589743589744,27.333333333333332
20180410,49.61538461538461,20.58974358974359
20180411,66.87179487179488,25.53846153846154
20180412,48.82051282051282,15.58974358974359
20180413,37.94871794871795,14.743589743589743
20180414,22.256410256410255,12.179487179487179
20180415,77.35897435897436,22.128205128205128
20180416,40.23076923076923,23.0
20180417,62.794871794871796,31.05128205128205
20180418,72.25641025641026,34.69230769230769
20180419,83.23076923076923,39.743589743589745
20180421,76.43589743589743,43.0
20180422,40.12820512820513,21.692307692307693
20180423,9.666666666666666,7.461538461538462
20180424,10.435897435897436,5.410256410256411
20180425,37.5,25.236842105263158
20180426,48.07692307692308,32.41025641025641
20180427,60.1025641025641,41.35897435897436
20180428,63.256410256410255,41.17948717948718
20180429,56.51282051282051,32.94871794871795
20180430,84.71794871794872,60.87179487179487
20180501,63.48717948717949,48.82051282051282
20180502,46.205128205128204,38.53846153846154
20180503,31.512820512820515,14.564102564102564
20180504,47.56410256410256,17.512820512820515
20180505,42.717948717948715,20.307692307692307
20180506,15.58974358974359,9.846153846153847
20180507,38.51282051282051,19.615384615384617
20180508,20.384615384615383,7.769230769230769
20180509,23.71794871794872,9.051282051282051
20180510,44.1025641025641,23.897435897435898
20180511,63.07692307692308,41.56410256410256
20180512,33.46153846153846,22.53846153846154
20180513,25.333333333333332,17.692307692307693
20180514,77.12820512820512,57.82051282051282
20180515,78.82051282051282,55.48717948717949
20180516,36.205128205128204,25.128205128205128
20180517,16.102564102564102,11.051282051282051
20180520,12.333333333333334,5.871794871794871
20180521,10.871794871794872,5.17948717948718
20180527,68.33333333333333,29.0
20180528,52.43589743589744,25.256410256410255
20180601,44.15384615384615,23.871794871794872
20180602,51.97435897435897,32.35897435897436
20180604,43.53846153846154,27.384615384615383
20180605,41.743589743589745,28.743589743589745
20180622,51.714285714285715,34.51428571428571
20180626,63.2,46.285714285714285
20180630,53.8235294117647,38.42857142857143
20180701,13.088235294117647,7.542857142857143
20180702,11.028571428571428,6.6
20180703,13.114285714285714,7.0
20180706,8.194444444444445,3.361111111111111
20180707,9.472222222222221,4.138888888888889
20180708,12.694444444444445,6.166666666666667
20180709,10.555555555555555,5.277777777777778
20180710,23.194444444444443,12.472222222222221
20180711,33.416666666666664,19.38888888888889
20180712,27.763157894736842,15.342105263157896
20180713,22.57894736842105,13.710526315789474
20180714,21.394736842105264,13.421052631578947
20180715,23.31578947368421,16.07894736842105
20180716,27.394736842105264,18.236842105263158
