,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
297,KOR,Asia,South Korea,2020-11-13,28338.0,205.0,150.571,492.0,4.0,2.1430000000000002,552.73,3.9989999999999997,2.937,9.596,0.078,0.042,1.48,,,,,,,,,10804.0,2731292.0,53.273999999999994,0.21100000000000002,10087.0,0.19699999999999998,0.015,67.0,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
298,KOR,Asia,South Korea,2020-11-14,28546.0,208.0,159.857,493.0,1.0,2.1430000000000002,556.7869999999999,4.0569999999999995,3.1180000000000003,9.616,0.02,0.042,1.52,,,,,,,,,11305.0,2742597.0,53.494,0.221,10224.0,0.19899999999999998,0.016,64.0,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
299,KOR,Asia,South Korea,2020-11-15,28769.0,223.0,173.71400000000003,494.0,1.0,2.0,561.136,4.35,3.388,9.635,0.02,0.039,1.57,,,,,,,,,7903.0,2750500.0,53.648,0.154,10467.0,0.204,0.017,60.3,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,8.06
300,KOR,Asia,South Korea,2020-11-16,28998.0,229.0,192.143,494.0,0.0,1.286,565.6030000000001,4.467,3.748,9.635,0.0,0.025,1.6,,,,,,,,,8877.0,2759377.0,53.821000000000005,0.17300000000000001,10854.0,0.212,0.018000000000000002,56.5,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
301,KOR,Asia,South Korea,2020-11-17,29311.0,313.0,216.0,496.0,2.0,1.286,571.7080000000001,6.105,4.213,9.674,0.039,0.025,1.64,,,,,,,,,15176.0,2774553.0,54.117,0.29600000000000004,11207.0,0.21899999999999997,0.019,51.9,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
302,KOR,Asia,South Korea,2020-11-18,29654.0,343.0,244.571,498.0,2.0,1.571,578.398,6.69,4.77,9.713,0.039,0.031,1.62,,,,,,,,,17121.0,2791674.0,54.451,0.33399999999999996,11975.0,0.23399999999999999,0.02,49.0,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
303,KOR,Asia,South Korea,2020-11-19,30017.0,363.0,269.143,501.0,3.0,1.857,585.4780000000001,7.08,5.25,9.772,0.059000000000000004,0.036000000000000004,1.57,,,,,,,,,16644.0,2808318.0,54.776,0.325,12547.0,0.245,0.021,46.6,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
304,KOR,Asia,South Korea,2020-11-20,30403.0,386.0,295.0,503.0,2.0,1.571,593.007,7.529,5.754,9.811,0.039,0.031,1.53,,,,,,,,,16982.0,2825300.0,55.107,0.331,13430.0,0.262,0.022000000000000002,45.5,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
305,KOR,Asia,South Korea,2020-11-21,30733.0,330.0,312.42900000000003,505.0,2.0,1.714,599.444,6.437,6.093999999999999,9.85,0.039,0.033,1.42,,,,,,,,,20101.0,2845401.0,55.498999999999995,0.392,14686.0,0.28600000000000003,0.021,47.0,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
306,KOR,Asia,South Korea,2020-11-22,31004.0,271.0,319.286,509.0,4.0,2.1430000000000002,604.73,5.2860000000000005,6.228,9.927999999999999,0.078,0.042,1.36,,,,,,,,,9460.0,2854861.0,55.684,0.185,14909.0,0.29100000000000004,0.021,46.7,people tested,,,,,,,,,,51.39,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,6.54
307,KOR,Asia,South Korea,2020-11-23,31353.0,349.0,336.42900000000003,510.0,1.0,2.286,611.5369999999999,6.807,6.562,9.947000000000001,0.02,0.045,1.41,,,,,,,,,10819.0,2865680.0,55.895,0.21100000000000002,15186.0,0.29600000000000004,0.022000000000000002,45.1,people tested,,,,,,,,,,56.94,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
308,KOR,Asia,South Korea,2020-11-24,31735.0,382.0,346.286,513.0,3.0,2.4290000000000003,618.988,7.4510000000000005,6.754,10.006,0.059000000000000004,0.047,1.44,,,,,,,,,22950.0,2888630.0,56.342,0.44799999999999995,16297.0,0.318,0.021,47.1,people tested,,,,,,,,,,54.17,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
309,KOR,Asia,South Korea,2020-11-25,32318.0,583.0,380.57099999999997,515.0,2.0,2.4290000000000003,630.359,11.370999999999999,7.422999999999999,10.045,0.039,0.047,1.54,,,,,,,,,21937.0,2910567.0,56.77,0.428,16985.0,0.331,0.022000000000000002,44.6,people tested,,,,,,,,,,54.17,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
310,KOR,Asia,South Korea,2020-11-26,32887.0,569.0,410.0,516.0,1.0,2.1430000000000002,641.457,11.097999999999999,7.997000000000001,10.065,0.02,0.042,1.48,,,,,,,,,22118.0,2932685.0,57.202,0.431,17767.0,0.34700000000000003,0.023,43.3,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
311,KOR,Asia,South Korea,2020-11-27,33375.0,488.0,424.57099999999997,522.0,6.0,2.714,650.976,9.517999999999999,8.281,10.182,0.11699999999999999,0.053,1.37,,,,,,,,,20255.0,2952940.0,57.597,0.395,18234.0,0.35600000000000004,0.023,42.9,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
312,KOR,Asia,South Korea,2020-11-28,33824.0,449.0,441.57099999999997,523.0,1.0,2.571,659.7339999999999,8.758,8.613,10.201,0.02,0.05,1.28,,,,,,,,,20270.0,2973210.0,57.992,0.395,18258.0,0.35600000000000004,0.024,41.3,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
313,KOR,Asia,South Korea,2020-11-29,34201.0,377.0,456.714,526.0,3.0,2.4290000000000003,667.087,7.353,8.908,10.26,0.059000000000000004,0.047,1.23,,,,,,,,,10932.0,2984142.0,58.205,0.213,18469.0,0.36,0.025,40.4,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,2.62
314,KOR,Asia,South Korea,2020-11-30,34652.0,451.0,471.286,526.0,0.0,2.286,675.8839999999999,8.797,9.192,10.26,0.0,0.045,1.24,,,,,,,,,13665.0,2997807.0,58.472,0.267,18875.0,0.368,0.025,40.0,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
315,KOR,Asia,South Korea,2020-12-01,35163.0,511.0,489.714,526.0,0.0,1.857,685.8510000000001,9.967,9.552,10.26,0.0,0.036000000000000004,1.23,,,,,,,,,21298.0,3019105.0,58.887,0.415,18639.0,0.364,0.026000000000000002,38.1,people tested,,,,,,,,,,60.65,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
