,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적 확진자,"65,503","8,405","11,755","9,288","3,448","4,400","3,247",755,"56,884","4,587","3,932","5,083","2,810","2,054","5,540","7,444","1,785","5,283"
신규 확진자,311,69,37,48,18,78,8,7,360,25,39,53,16,4,25,72,21,11
