사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20210501,1호선,청량리(서울시립대입구),15950,16097,20210504
20210501,1호선,제기동,13612,13889,20210504
20210501,1호선,신설동,7777,7497,20210504
20210501,1호선,동대문,11032,10116,20210504
20210501,1호선,종로5가,18029,17366,20210504
20210501,1호선,종로3가,19003,18406,20210504
20210501,1호선,종각,16189,14738,20210504
20210501,1호선,시청,8253,8774,20210504
20210501,1호선,동묘앞,9578,9794,20210504
20210501,1호선,서울역,26548,27986,20210504
20210501,1호선,서울역,5011,1588,20210504
20210501,1호선,남영,4910,5197,20210504
20210501,1호선,용산,29764,32555,20210504
20210501,1호선,노량진,7681,7173,20210504
20210501,1호선,대방,6944,7122,20210504
20210501,1호선,영등포,36895,38077,20210504
20210501,1호선,신도림,2600,2722,20210504
20210501,1호선,신길,5591,4669,20210504
20210501,1호선,구로,11880,12428,20210504
20210501,1호선,가산디지털단지,5335,7374,20210504
20210501,1호선,금천구청,7234,7230,20210504
20210501,1호선,석수,5897,5387,20210504
20210501,1호선,관악,5105,4771,20210504
20210501,1호선,안양,16350,16210,20210504
20210501,1호선,명학,4425,4278,20210504
20210501,1호선,금정,16305,16203,20210504
20210501,1호선,군포,3740,3430,20210504
20210501,1호선,의왕,5181,5014,20210504
20210501,1호선,성균관대,8978,9023,20210504
20210501,1호선,화서,4568,4413,20210504
20210501,1호선,수원,35438,38282,20210504
20210501,1호선,독산,7526,7443,20210504
20210501,1호선,세류,2113,2223,20210504
20210501,1호선,병점,10494,10630,20210504
20210501,1호선,세마,1907,1693,20210504
20210501,1호선,오산대,2439,2239,20210504
20210501,1호선,오산,8381,7972,20210504
20210501,1호선,진위,916,815,20210504
20210501,1호선,송탄,4151,3761,20210504
20210501,1호선,서정리,4846,4393,20210504
20210501,1호선,지제,2035,2028,20210504
20210501,1호선,평택,12024,11431,20210504
20210501,1호선,성환,2762,2539,20210504
20210501,1호선,직산,526,525,20210504
20210501,1호선,두정,4831,4861,20210504
20210501,1호선,천안,5567,5835,20210504
20210501,1호선,당정,3599,3392,20210504
20210501,1호선,서동탄,958,975,20210504
20210501,1호선,광명,2157,2037,20210504
20210501,1호선,이촌(국립중앙박물관),2552,1829,20210504
20210501,1호선,서빙고,1085,989,20210504
20210501,1호선,한남,2433,2342,20210504
20210501,1호선,옥수,26,38,20210504
20210501,1호선,응봉,1249,1067,20210504
20210501,1호선,왕십리(성동구청),10831,12175,20210504
