,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"31,027","3,818,469","25,819","1,406,907"
부산,"12,563","1,421,464","6,670","498,980"
대구,"9,299","899,782","5,889","328,231"
인천,"11,020","1,092,811","6,475","380,023"
광주,"6,539","582,149","2,219","214,469"
대전,"5,378","552,933","3,149","207,334"
울산,"4,654","420,729","2,601","132,480"
세종,"1,431","116,111","1,134","40,736"
경기,"47,809","4,901,444","36,516","1,743,793"
강원,"6,255","700,440","4,049","283,663"
충북,"6,500","675,062","2,740","250,990"
충남,"9,330","900,442","4,861","345,297"
전북,"6,160","825,235","4,705","325,166"
전남,"6,875","899,822","4,193","356,648"
경북,"11,339","1,136,344","6,163","428,247"
경남,"12,902","1,319,051","7,436","485,676"
제주,"2,397","267,278","1,685","98,264"
