,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"23,333","3,884,200","8,911","1,446,093"
부산,"7,881","1,447,128",751,"508,474"
대구,"6,047","919,236",396,"335,032"
인천,"8,161","1,116,720","1,567","388,674"
광주,"4,110","594,144",376,"218,226"
대전,"2,929","562,794",217,"211,781"
울산,"2,144","428,468",101,"135,622"
세종,804,"118,821",178,"42,435"
경기,"36,372","5,004,605","19,419","1,804,087"
강원,"2,467","710,910",722,"289,590"
충북,"3,375","687,159",328,"255,699"
충남,"3,664","915,784",365,"353,105"
전북,"3,320","837,776",328,"330,557"
전남,"3,218","912,168",330,"364,510"
경북,"4,567","1,154,556",573,"438,095"
경남,"6,559","1,341,959",951,"496,245"
제주,"1,452","271,816",247,"100,578"
