,1회차 접종 당일 실적,1회차 접종 당일 누계,2회차 접종 당일 실적,2회차 접종 당일 누계
서울,"77,877","3,724,642","7,123","1,337,105"
부산,"31,252","1,383,646","2,628","480,473"
대구,"22,726","871,123","2,688","312,005"
인천,"27,394","1,059,446","1,760","362,683"
광주,"13,700","563,406",830,"205,245"
대전,"12,990","536,804",959,"198,567"
울산,"11,275","408,068",471,"125,310"
세종,"3,028","112,230",179,"37,803"
경기,"118,717","4,754,954","7,895","1,644,252"
강원,"14,908","683,330","1,010","274,263"
충북,"15,886","655,400","1,324","242,028"
충남,"22,167","872,081","2,054","332,645"
전북,"17,331","806,348","1,270","313,231"
전남,"19,083","878,311","1,378","345,653"
경북,"27,263","1,098,141","2,016","411,768"
경남,"31,098","1,281,008","1,943","466,053"
제주,"7,155","258,569",427,"93,473"
