,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적 확진자,66919,8735,12035,9535,3495,4579,3299,798,58320,4666,4063,5260,2896,2113,5704,7738,1848,5403
신규 확진자,464,107,84,103,14,50,24,20,462,26,41,53,34,24,56,98,16,28
