,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
누적 확진자,64192,8346,11718,9240,3430,4332,3239,748,56524,4562,3893,5030,2794,2050,5515,7372,1764
신규 확진자,375,71,26,88,14,64,13,3,316,21,24,32,12,8,31,86,12
