,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적 확진자,67422,8881,12103,9625,3513,4636,3320,816,58833,4699,4106,5314,2916,2133,5753,7869,1861,5428
신규 확진자,503,146,68,90,18,57,21,18,514,33,43,54,20,20,49,131,13,25
