사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20200401,1호선,아산,1557,1426,20200404
20200401,1호선,종각,31105,30397,20200404
20200401,1호선,종로3가,21991,20842,20200404
20200401,1호선,종로5가,18925,19126,20200404
20200401,1호선,동대문,9482,9373,20200404
20200401,1호선,신설동,12191,12140,20200404
20200401,1호선,제기동,13816,14067,20200404
20200401,1호선,청량리(서울시립대입구),16949,16794,20200404
20200401,1호선,동묘앞,6535,7013,20200404
20200401,1호선,서울역,2305,786,20200404
20200401,1호선,남영,8150,8658,20200404
20200401,1호선,용산,23128,23729,20200404
20200401,1호선,노량진,7679,7576,20200404
20200401,1호선,대방,11208,11340,20200404
20200401,1호선,영등포,29700,30830,20200404
20200401,1호선,신도림,3405,3454,20200404
20200401,1호선,신길,8114,6654,20200404
20200401,1호선,구로,15008,15196,20200404
20200401,1호선,가산디지털단지,15966,18329,20200404
20200401,1호선,금천구청,9773,9676,20200404
20200401,1호선,석수,8778,7724,20200404
20200401,1호선,관악,6093,5552,20200404
20200401,1호선,안양,17500,17867,20200404
20200401,1호선,명학,7884,7660,20200404
20200401,1호선,금정,21876,22383,20200404
20200401,1호선,군포,6544,6500,20200404
20200401,1호선,의왕,7635,7708,20200404
20200401,1호선,성균관대,11016,10860,20200404
20200401,1호선,화서,6094,5823,20200404
20200401,1호선,수원,24798,26801,20200404
20200401,1호선,독산,14505,15253,20200404
20200401,1호선,세류,2418,2307,20200404
20200401,1호선,병점,10380,10081,20200404
20200401,1호선,세마,1932,1767,20200404
20200401,1호선,오산대,2161,1942,20200404
20200401,1호선,오산,6623,6624,20200404
20200401,1호선,진위,1223,1131,20200404
20200401,1호선,송탄,2893,2747,20200404
20200401,1호선,서정리,3856,3895,20200404
20200401,1호선,지제,1772,1634,20200404
20200401,1호선,평택,7730,7575,20200404
20200401,1호선,성환,2270,2295,20200404
20200401,1호선,직산,533,539,20200404
20200401,1호선,두정,3221,3220,20200404
20200401,1호선,천안,3095,3000,20200404
20200401,1호선,당정,5150,4933,20200404
20200401,1호선,서동탄,1334,1134,20200404
20200401,1호선,광명,1991,1803,20200404
20200401,1호선,개봉,17997,18078,20200404
20200401,1호선,오류동,9851,9329,20200404
20200401,1호선,역곡,23141,22921,20200404
20200401,1호선,부천,27919,28031,20200404
20200401,1호선,송내,24795,24506,20200404
20200401,1호선,부평,24824,25734,20200404
20200401,1호선,백운,5996,5960,20200404
20200401,1호선,동암,13214,13244,20200404
20200401,1호선,주안,16518,15108,20200404
20200401,1호선,제물포,8173,7717,20200404
20200401,1호선,동인천,11757,11288,20200404
20200401,1호선,인천,2527,1900,20200404
20200401,1호선,구일,5279,5374,20200404
20200401,1호선,소사,7889,7521,20200404
20200401,1호선,부개,7169,6794,20200404
20200401,1호선,간석,4885,4566,20200404
20200401,1호선,도원,2271,2369,20200404
20200401,1호선,온수(성공회대입구),5030,5104,20200404
20200401,1호선,중동,7764,7391,20200404
20200401,1호선,도화,3161,2787,20200404
20200401,1호선,이촌(국립중앙박물관),3000,2264,20200404
20200401,1호선,서빙고,1407,1272,20200404
20200401,1호선,한남,3364,3178,20200404
20200401,1호선,옥수,21,18,20200404
20200401,1호선,응봉,1519,1441,20200404
20200401,1호선,왕십리(성동구청),11271,13079,20200404
20200401,1호선,청량리(서울시립대입구),10104,11035,20200404
20200401,1호선,외대앞,5997,5787,20200404
20200401,1호선,신이문,7401,6668,20200404
20200401,1호선,석계,7084,8034,20200404
20200401,1호선,광운대,6823,6403,20200404
20200401,1호선,월계,4852,4530,20200404
20200401,1호선,녹천,3951,3328,20200404
20200401,1호선,방학,7863,7594,20200404
20200401,1호선,도봉,4983,4893,20200404
20200401,1호선,도봉산,6779,4087,20200404
20200401,1호선,망월사,5675,5902,20200404
20200401,1호선,회룡,9940,9722,20200404
20200401,1호선,의정부,13814,14149,20200404
20200401,1호선,가능,5230,5031,20200404
20200401,1호선,녹양,3839,3522,20200404
20200401,1호선,양주,6104,5761,20200404
20200401,1호선,덕계,1935,1776,20200404
20200401,1호선,덕정,4419,4352,20200404
20200401,1호선,지행,4668,4671,20200404
20200401,1호선,동두천중앙,2414,2293,20200404
20200401,1호선,보산,1175,1020,20200404
20200401,1호선,동두천,1386,1661,20200404
20200401,1호선,소요산,2154,1753,20200404
20200401,1호선,봉명,842,790,20200404
20200401,1호선,쌍용(나사렛대),1258,1167,20200404
20200401,1호선,배방,672,651,20200404
20200401,1호선,온양온천,2171,2260,20200404
20200401,1호선,신창(순천향대),723,722,20200404
20200401,1호선,서울역,31908,30546,20200404
20200401,1호선,시청,17943,17941,20200404
20200402,1호선,서울역,32391,30764,20200405
20200402,1호선,시청,17671,18052,20200405
20200402,1호선,종각,30806,30102,20200405
20200402,1호선,종로3가,21896,20514,20200405
20200402,1호선,종로5가,18895,19078,20200405
20200402,1호선,동대문,9362,9294,20200405
20200402,1호선,신설동,12250,11992,20200405
20200402,1호선,제기동,14319,14747,20200405
20200402,1호선,청량리(서울시립대입구),17434,17314,20200405
20200402,1호선,동묘앞,6771,7121,20200405
20200402,1호선,서울역,2560,869,20200405
20200402,1호선,남영,8246,8633,20200405
20200402,1호선,용산,23006,23978,20200405
20200402,1호선,노량진,7607,7463,20200405
20200402,1호선,대방,11079,11169,20200405
20200402,1호선,영등포,29472,30643,20200405
20200402,1호선,신도림,3458,3369,20200405
20200402,1호선,신길,8097,6794,20200405
20200402,1호선,구로,14893,15237,20200405
20200402,1호선,가산디지털단지,15966,18321,20200405
20200402,1호선,금천구청,9787,9645,20200405
20200402,1호선,석수,8730,7623,20200405
20200402,1호선,관악,6103,5605,20200405
20200402,1호선,안양,17850,18023,20200405
20200402,1호선,명학,7806,7836,20200405
20200402,1호선,금정,22020,22551,20200405
20200402,1호선,군포,6554,6541,20200405
20200402,1호선,의왕,7800,7763,20200405
20200402,1호선,성균관대,11190,10907,20200405
20200402,1호선,화서,6036,5972,20200405
20200402,1호선,수원,25140,26874,20200405
20200402,1호선,독산,14583,15309,20200405
20200402,1호선,세류,2407,2273,20200405
20200402,1호선,병점,10189,10116,20200405
20200402,1호선,세마,1928,1846,20200405
20200402,1호선,오산대,2227,1957,20200405
20200402,1호선,오산,6628,6694,20200405
20200402,1호선,진위,1217,1104,20200405
20200402,1호선,송탄,2764,2602,20200405
20200402,1호선,서정리,3926,3873,20200405
20200402,1호선,지제,1761,1579,20200405
20200402,1호선,평택,7636,7508,20200405
20200402,1호선,성환,2267,2303,20200405
20200402,1호선,직산,529,556,20200405
20200402,1호선,두정,3288,3283,20200405
20200402,1호선,천안,3094,3128,20200405
20200402,1호선,당정,5226,4946,20200405
20200402,1호선,서동탄,1344,1116,20200405
20200402,1호선,광명,2068,1824,20200405
20200402,1호선,개봉,17689,18016,20200405
20200402,1호선,오류동,9795,9224,20200405
20200402,1호선,역곡,23155,22849,20200405
20200402,1호선,부천,27946,28237,20200405
20200402,1호선,송내,24634,24386,20200405
20200402,1호선,부평,24738,26065,20200405
20200402,1호선,백운,5936,5857,20200405
20200402,1호선,동암,13327,13247,20200405
20200402,1호선,주안,16157,14843,20200405
20200402,1호선,제물포,8201,7774,20200405
20200402,1호선,동인천,11907,11277,20200405
20200402,1호선,인천,2422,1849,20200405
20200402,1호선,구일,5221,5302,20200405
20200402,1호선,소사,7970,7483,20200405
20200402,1호선,부개,7281,6797,20200405
20200402,1호선,간석,4758,4503,20200405
20200402,1호선,도원,2270,2316,20200405
20200402,1호선,온수(성공회대입구),5010,4945,20200405
20200402,1호선,중동,7758,7191,20200405
20200402,1호선,도화,3059,2783,20200405
20200402,1호선,이촌(국립중앙박물관),2943,2264,20200405
20200402,1호선,서빙고,1438,1288,20200405
20200402,1호선,한남,3380,3238,20200405
20200402,1호선,옥수,26,16,20200405
20200402,1호선,응봉,1588,1425,20200405
20200402,1호선,왕십리(성동구청),11185,12732,20200405
20200402,1호선,청량리(서울시립대입구),10483,11353,20200405
20200402,1호선,외대앞,6034,5866,20200405
20200402,1호선,신이문,7435,6739,20200405
20200402,1호선,석계,7089,8042,20200405
20200402,1호선,광운대,6915,6430,20200405
20200402,1호선,월계,4944,4569,20200405
20200402,1호선,녹천,3942,3331,20200405
20200402,1호선,창동,1,0,20200405
20200402,1호선,방학,7950,7824,20200405
20200402,1호선,도봉,5155,4900,20200405
20200402,1호선,도봉산,6847,4184,20200405
20200402,1호선,망월사,5607,5677,20200405
20200402,1호선,회룡,9765,9611,20200405
20200402,1호선,의정부,13472,13718,20200405
20200402,1호선,가능,5069,4898,20200405
20200402,1호선,녹양,3699,3500,20200405
20200402,1호선,양주,6147,5682,20200405
20200402,1호선,덕계,1922,1648,20200405
20200402,1호선,덕정,4252,4197,20200405
20200402,1호선,지행,4501,4467,20200405
20200402,1호선,동두천중앙,2361,2265,20200405
20200402,1호선,보산,1111,983,20200405
20200402,1호선,동두천,1344,1592,20200405
20200402,1호선,소요산,2118,1794,20200405
20200402,1호선,봉명,897,841,20200405
20200402,1호선,쌍용(나사렛대),1333,1215,20200405
20200402,1호선,아산,1568,1489,20200405
20200402,1호선,배방,678,651,20200405
20200402,1호선,온양온천,2263,2241,20200405
20200402,1호선,신창(순천향대),812,711,20200405
20200403,1호선,금천구청,10036,10071,20200406
20200403,1호선,서울역,35193,33968,20200406
20200403,1호선,시청,17460,17661,20200406
20200403,1호선,종각,31736,31406,20200406
20200403,1호선,종로3가,22831,22032,20200406
20200403,1호선,종로5가,19220,19203,20200406
20200403,1호선,동대문,10043,9871,20200406
20200403,1호선,신설동,12650,12386,20200406
20200403,1호선,제기동,14608,14911,20200406
20200403,1호선,청량리(서울시립대입구),18028,17808,20200406
20200403,1호선,동묘앞,6902,7326,20200406
20200403,1호선,서울역,3540,1136,20200406
20200403,1호선,남영,8288,8695,20200406
20200403,1호선,용산,26758,28509,20200406
20200403,1호선,노량진,8173,7745,20200406
20200403,1호선,대방,11443,11230,20200406
20200403,1호선,영등포,32873,35012,20200406
20200403,1호선,신도림,3502,3493,20200406
20200403,1호선,신길,8182,6808,20200406
20200403,1호선,구로,15202,15462,20200406
20200403,1호선,가산디지털단지,16040,18310,20200406
20200403,1호선,석수,9119,7829,20200406
20200403,1호선,관악,6257,5689,20200406
20200403,1호선,안양,18703,19193,20200406
20200403,1호선,명학,7847,7590,20200406
20200403,1호선,금정,22873,23273,20200406
20200403,1호선,군포,6750,6580,20200406
20200403,1호선,의왕,7895,7777,20200406
20200403,1호선,성균관대,11833,11620,20200406
20200403,1호선,화서,6319,6049,20200406
20200403,1호선,수원,28049,30859,20200406
20200403,1호선,독산,14935,15277,20200406
20200403,1호선,세류,2626,2505,20200406
20200403,1호선,병점,11871,10989,20200406
20200403,1호선,세마,2073,1916,20200406
20200403,1호선,오산대,2431,2158,20200406
20200403,1호선,오산,7803,7383,20200406
20200403,1호선,진위,1405,1114,20200406
20200403,1호선,송탄,3035,2807,20200406
20200403,1호선,서정리,4632,4099,20200406
20200403,1호선,지제,2195,1821,20200406
20200403,1호선,평택,8823,8610,20200406
20200403,1호선,성환,2642,2374,20200406
20200403,1호선,직산,669,609,20200406
20200403,1호선,두정,3859,3718,20200406
20200403,1호선,천안,3595,3829,20200406
20200403,1호선,당정,5303,5021,20200406
20200403,1호선,서동탄,1359,1217,20200406
20200403,1호선,광명,2479,2155,20200406
20200403,1호선,개봉,18249,18370,20200406
20200403,1호선,오류동,10253,9430,20200406
20200403,1호선,역곡,23825,23515,20200406
20200403,1호선,부천,29510,30677,20200406
20200403,1호선,송내,25613,25114,20200406
20200403,1호선,부평,26430,29260,20200406
20200403,1호선,백운,6026,5927,20200406
20200403,1호선,동암,13821,13884,20200406
20200403,1호선,주안,17362,15811,20200406
20200403,1호선,제물포,8482,7930,20200406
20200403,1호선,동인천,12319,11664,20200406
20200403,1호선,인천,2615,2067,20200406
20200403,1호선,구일,5421,5499,20200406
20200403,1호선,소사,8270,7546,20200406
20200403,1호선,부개,7498,6928,20200406
20200403,1호선,간석,5005,4688,20200406
20200403,1호선,도원,2317,2335,20200406
20200403,1호선,온수(성공회대입구),5308,5216,20200406
20200403,1호선,중동,7921,7456,20200406
20200403,1호선,도화,3232,2838,20200406
20200403,1호선,이촌(국립중앙박물관),3107,2410,20200406
20200403,1호선,서빙고,1517,1349,20200406
20200403,1호선,한남,3442,3341,20200406
20200403,1호선,옥수,41,21,20200406
20200403,1호선,응봉,1611,1388,20200406
20200403,1호선,왕십리(성동구청),12257,13969,20200406
20200403,1호선,청량리(서울시립대입구),11760,13189,20200406
20200403,1호선,외대앞,6416,6032,20200406
20200403,1호선,신이문,7586,6770,20200406
20200403,1호선,석계,7414,8223,20200406
20200403,1호선,광운대,7129,6566,20200406
20200403,1호선,월계,5189,4812,20200406
20200403,1호선,녹천,3974,3238,20200406
20200403,1호선,방학,8169,8040,20200406
20200403,1호선,도봉,5072,4840,20200406
20200403,1호선,도봉산,7033,4240,20200406
20200403,1호선,망월사,5707,5841,20200406
20200403,1호선,회룡,10278,9987,20200406
20200403,1호선,의정부,13698,14470,20200406
20200403,1호선,가능,5222,4899,20200406
20200403,1호선,녹양,3793,3553,20200406
20200403,1호선,양주,6323,5821,20200406
20200403,1호선,덕계,1885,1757,20200406
20200403,1호선,덕정,4430,4205,20200406
20200403,1호선,지행,4628,4552,20200406
20200403,1호선,동두천중앙,2444,2363,20200406
20200403,1호선,보산,1162,1076,20200406
20200403,1호선,동두천,1340,1675,20200406
20200403,1호선,소요산,2151,1788,20200406
20200403,1호선,봉명,904,824,20200406
20200403,1호선,쌍용(나사렛대),1481,1318,20200406
20200403,1호선,아산,1963,1932,20200406
20200403,1호선,배방,876,696,20200406
20200403,1호선,온양온천,2431,2563,20200406
20200403,1호선,신창(순천향대),1020,697,20200406
20200404,1호선,서울역,17222,16881,20200407
20200404,1호선,시청,5902,5917,20200407
20200404,1호선,종각,12544,12050,20200407
20200404,1호선,종로3가,15384,15291,20200407
20200404,1호선,종로5가,12221,12077,20200407
20200404,1호선,동대문,8208,7575,20200407
20200404,1호선,신설동,7380,6793,20200407
20200404,1호선,제기동,11122,11319,20200407
20200404,1호선,청량리(서울시립대입구),14264,13918,20200407
20200404,1호선,동묘앞,8146,8705,20200407
20200404,1호선,서울역,2095,540,20200407
20200404,1호선,남영,4049,4111,20200407
20200404,1호선,용산,18339,19332,20200407
20200404,1호선,노량진,6469,5594,20200407
20200404,1호선,대방,5875,5652,20200407
20200404,1호선,영등포,26696,27993,20200407
20200404,1호선,신도림,1947,1907,20200407
20200404,1호선,신길,4893,4060,20200407
20200404,1호선,구로,8447,8732,20200407
20200404,1호선,가산디지털단지,4410,5935,20200407
20200404,1호선,금천구청,6060,6072,20200407
20200404,1호선,석수,5335,5170,20200407
20200404,1호선,관악,4334,4073,20200407
20200404,1호선,안양,13424,13602,20200407
20200404,1호선,명학,3723,3473,20200407
20200404,1호선,금정,13560,13853,20200407
20200404,1호선,군포,3379,3010,20200407
20200404,1호선,의왕,4398,4256,20200407
20200404,1호선,성균관대,7097,7078,20200407
20200404,1호선,화서,3798,3726,20200407
20200404,1호선,수원,23317,25853,20200407
20200404,1호선,독산,6334,6235,20200407
20200404,1호선,세류,1738,1750,20200407
20200404,1호선,병점,7975,7685,20200407
20200404,1호선,세마,1421,1251,20200407
20200404,1호선,오산대,1603,1484,20200407
20200404,1호선,오산,6010,5562,20200407
20200404,1호선,진위,717,613,20200407
20200404,1호선,송탄,2543,2277,20200407
20200404,1호선,서정리,3908,3120,20200407
20200404,1호선,지제,1393,1206,20200407
20200404,1호선,평택,7608,7387,20200407
20200404,1호선,성환,2117,1899,20200407
20200404,1호선,직산,422,439,20200407
20200404,1호선,두정,2915,2894,20200407
20200404,1호선,천안,3350,3526,20200407
20200404,1호선,당정,2878,2713,20200407
20200404,1호선,서동탄,673,669,20200407
20200404,1호선,광명,1383,1121,20200407
20200404,1호선,개봉,12063,11851,20200407
20200404,1호선,오류동,6695,6195,20200407
20200404,1호선,역곡,15045,14841,20200407
20200404,1호선,부천,22112,22882,20200407
20200404,1호선,송내,13983,13865,20200407
20200404,1호선,부평,20871,23142,20200407
20200404,1호선,백운,3946,4031,20200407
20200404,1호선,동암,9627,9921,20200407
20200404,1호선,주안,12126,10777,20200407
20200404,1호선,제물포,5198,4919,20200407
20200404,1호선,동인천,8398,8328,20200407
20200404,1호선,인천,2061,1747,20200407
20200404,1호선,구일,3419,3318,20200407
20200404,1호선,소사,5730,5479,20200407
20200404,1호선,부개,4712,4413,20200407
20200404,1호선,간석,3098,2941,20200407
20200404,1호선,도원,1588,1603,20200407
20200404,1호선,온수(성공회대입구),3455,3328,20200407
20200404,1호선,중동,4912,4597,20200407
20200404,1호선,도화,2095,1866,20200407
20200404,1호선,이촌(국립중앙박물관),2168,1614,20200407
20200404,1호선,서빙고,854,799,20200407
20200404,1호선,한남,2258,2099,20200407
20200404,1호선,옥수,16,17,20200407
20200404,1호선,응봉,1215,1182,20200407
20200404,1호선,왕십리(성동구청),9477,10472,20200407
20200404,1호선,청량리(서울시립대입구),9431,10635,20200407
20200404,1호선,외대앞,4720,4322,20200407
20200404,1호선,신이문,4872,4422,20200407
20200404,1호선,석계,5278,5608,20200407
20200404,1호선,광운대,4367,4137,20200407
20200404,1호선,월계,3444,3204,20200407
20200404,1호선,녹천,2652,2154,20200407
20200404,1호선,방학,5534,5460,20200407
20200404,1호선,도봉,3338,3160,20200407
20200404,1호선,도봉산,7251,4987,20200407
20200404,1호선,망월사,3910,4116,20200407
20200404,1호선,회룡,6615,6593,20200407
20200404,1호선,의정부,10661,11102,20200407
20200404,1호선,가능,3567,3473,20200407
20200404,1호선,녹양,2472,2350,20200407
20200404,1호선,양주,4218,4111,20200407
20200404,1호선,덕계,1284,1260,20200407
20200404,1호선,덕정,2955,2821,20200407
20200404,1호선,지행,3251,3208,20200407
20200404,1호선,동두천중앙,1686,1672,20200407
20200404,1호선,보산,902,885,20200407
