사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20200301,1호선,서울역,10457,10389,20200304
20200301,1호선,시청,3980,3937,20200304
20200301,1호선,종각,6357,5849,20200304
20200301,1호선,종로3가,6818,6361,20200304
20200301,1호선,종로5가,3942,4019,20200304
20200301,1호선,동대문,4304,5054,20200304
20200301,1호선,신설동,4440,4297,20200304
20200301,1호선,제기동,5161,5324,20200304
20200301,1호선,청량리(서울시립대입구),7727,7722,20200304
20200301,1호선,동묘앞,5954,6020,20200304
20200301,1호선,서울역,1390,362,20200304
20200301,1호선,남영,2277,2454,20200304
20200301,1호선,용산,13708,12769,20200304
20200301,1호선,노량진,3281,3030,20200304
20200301,1호선,대방,3237,3325,20200304
20200301,1호선,영등포,15989,15867,20200304
20200301,1호선,신도림,1075,1098,20200304
20200301,1호선,신길,2788,2335,20200304
20200301,1호선,구로,4795,4754,20200304
20200301,1호선,가산디지털단지,2441,3236,20200304
20200301,1호선,금천구청,3396,3107,20200304
20200301,1호선,석수,3018,2959,20200304
20200301,1호선,관악,2633,2390,20200304
20200301,1호선,안양,7211,7036,20200304
20200301,1호선,명학,2011,1893,20200304
20200301,1호선,금정,7184,7694,20200304
20200301,1호선,군포,1834,1699,20200304
20200301,1호선,의왕,2459,2403,20200304
20200301,1호선,성균관대,3651,3758,20200304
20200301,1호선,화서,1781,1686,20200304
20200301,1호선,수원,12951,13318,20200304
20200301,1호선,독산,3118,3199,20200304
20200301,1호선,세류,997,989,20200304
20200301,1호선,병점,3820,4372,20200304
20200301,1호선,세마,710,657,20200304
20200301,1호선,오산대,776,723,20200304
20200301,1호선,오산,3270,3742,20200304
20200301,1호선,진위,320,311,20200304
20200301,1호선,송탄,1644,1694,20200304
20200301,1호선,서정리,1778,2717,20200304
20200301,1호선,지제,769,859,20200304
20200301,1호선,평택,4567,4890,20200304
20200301,1호선,성환,951,1187,20200304
20200301,1호선,직산,181,239,20200304
20200301,1호선,두정,1360,1588,20200304
20200301,1호선,천안,1902,1806,20200304
20200301,1호선,당정,1659,1643,20200304
20200301,1호선,서동탄,308,312,20200304
20200301,1호선,광명,839,660,20200304
20200301,1호선,개봉,6619,6489,20200304
20200301,1호선,오류동,4431,3973,20200304
20200301,1호선,역곡,8437,8276,20200304
20200301,1호선,부천,13325,13221,20200304
20200301,1호선,송내,8118,7890,20200304
20200301,1호선,부평,11188,11583,20200304
20200301,1호선,백운,2294,2192,20200304
20200301,1호선,동암,5801,5686,20200304
20200301,1호선,주안,7150,6302,20200304
20200301,1호선,제물포,3018,2924,20200304
20200301,1호선,동인천,5016,4849,20200304
20200301,1호선,인천,1143,970,20200304
20200301,1호선,구일,1787,1753,20200304
20200301,1호선,소사,3405,3064,20200304
20200301,1호선,부개,2717,2631,20200304
20200301,1호선,간석,1782,1680,20200304
20200301,1호선,도원,995,1033,20200304
20200301,1호선,온수(성공회대입구),2181,2117,20200304
20200301,1호선,중동,2755,2533,20200304
20200301,1호선,도화,1159,1102,20200304
20200301,1호선,이촌(국립중앙박물관),947,843,20200304
20200301,1호선,서빙고,478,435,20200304
20200301,1호선,한남,1256,1260,20200304
